epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
131,0.003309,0.043057,5.798865,0.010785,0.899136,0.738812,0.243386,0.333333,-0.125,4.990419,0.808446
132,0.003199,0.041416,6.075238,0.005863,0.919182,0.741596,0.243386,0.333333,-0.125,5.230343,0.844895
133,0.004385,0.022453,6.63008,-0.051027,0.967399,0.773444,0.243386,0.333333,-0.125,5.69422,0.93586
134,0.004388,0.090146,7.004627,-0.021987,0.947514,0.753647,0.315152,0.444444,-0.022727,6.106844,0.897783
135,0.004808,0.033438,6.10883,-0.018072,0.925057,0.751899,0.243386,0.333333,-0.125,5.2531,0.855731
136,0.003617,0.100369,5.965013,0.008682,0.907697,0.738976,0.315152,0.444444,-0.022727,5.1411,0.823913
137,0.003623,0.028382,6.778611,-0.03324,0.943474,0.769275,0.243386,0.333333,-0.125,5.888468,0.890143
138,0.003685,0.023902,6.452117,-0.04668,0.93897,0.765018,0.243386,0.333333,-0.125,5.570452,0.881665
139,0.005058,-0.048795,6.646641,-0.05305,0.984006,0.77789,0.166667,0.222222,-0.26,5.678373,0.968267
140,0.003331,0.099624,6.739076,0.006448,0.892019,0.74552,0.315152,0.444444,-0.022727,5.943379,0.795697
141,0.004219,0.093011,6.711471,-0.013391,0.901148,0.762263,0.315152,0.444444,-0.022727,5.899404,0.812068
142,0.003374,0.075996,7.3398,-0.064436,0.963493,0.772941,0.315152,0.444444,-0.022727,6.41148,0.92832
143,0.003887,-0.056823,6.823822,-0.077136,0.999546,0.796295,0.166667,0.222222,-0.26,5.82473,0.999091
144,0.003979,0.139352,6.520197,-0.059722,0.933495,0.766523,0.311111,0.444444,0.166667,5.648783,0.871414
145,0.003419,0.014013,6.182378,-0.076348,0.962735,0.777544,0.243386,0.333333,-0.125,5.255519,0.926858
146,0.004459,0.051026,6.36368,-0.051848,1.054063,0.813748,0.243386,0.333333,-0.038462,5.252632,1.111048
147,0.004469,0.025517,6.359822,-0.041835,0.985583,0.780875,0.243386,0.333333,-0.125,5.388448,0.971374
148,0.003614,0.018402,6.588311,-0.063181,0.950606,0.772377,0.243386,0.333333,-0.125,5.68466,0.903652
149,0.003857,0.023723,6.853729,-0.047218,0.986349,0.782934,0.243386,0.333333,-0.125,5.880844,0.972885
150,0.004428,0.091066,6.477742,-0.019228,0.931677,0.770618,0.315152,0.444444,-0.022727,5.60972,0.868022
151,0.003616,0.029242,6.810424,-0.030661,0.964377,0.766764,0.243386,0.333333,-0.125,5.880401,0.930024
152,0.003744,0.081127,7.249318,-0.049042,0.97497,0.774687,0.315152,0.444444,-0.022727,6.298753,0.950566
153,0.003599,0.051193,6.925792,-0.051346,1.015431,0.795741,0.243386,0.333333,-0.038462,5.894691,1.031101
154,0.003806,-0.006828,6.908153,-0.091016,0.996981,0.786418,0.244444,0.333333,-0.173913,5.914182,0.993971
155,0.003507,0.079096,7.294055,-0.055135,0.945858,0.769887,0.315152,0.444444,-0.022727,6.399407,0.894647
156,0.003768,0.02399,6.841102,-0.076603,0.945434,0.776478,0.228571,0.333333,-0.08,5.947257,0.893845
